Search Company,Closest Company 1,Closest Company 2,Closest Company 3,Closest Company 4,Closest Company 5
linde,Orient Securities,Willis Towers Watson,Formosa Plastics,Chow Tai Fook Jewellery,Texas Instruments
oil & natural gas,Oil & Natural Gas,América Móvil,BHP Group,Telefónica,Boeing
dai-ichi life insurance,Mitsubishi UFJ Financial,Power Construction Corporation of China,Sumitomo Mitsui Financial,BCI-Banco Credito,Canara Bank
thermo fisher scientific,EnBW-Energie Baden,Cummins,Hewlett Packard Enterprise,Emerson Electric,Ecolab
aflac,Aflac,Sino Biopharmaceutical,Tohoku Electric Power,Brown-Forman,Shin Kong Financial
hyundai motor,Itochu,JXTG Holdings,Tokyo Electric Power,Idemitsu Kosan,KIA Motors
travelers,Travelers,Medtronic,Sun Life Financial,Manulife,Chubb
engie,Archer Daniels Midland,Repsol,PepsiCo,Magna International,United Technologies
mondelēz international,Duke Energy,Adidas,Electronic Arts,L'Oréal,Altria Group
suncor energy,Inditex,Coca-Cola,Top Frontier Investment Holdings,Sanofi,Philips
hitachi,Marubeni,Sumitomo,Asahi Kasei,Spotify Technology,MS&AD Insurance
nordea bank,Host Hotels & Resorts,Geberit,Xiamen C&D,Norsk Hydro,CaixaBank
aviva,Société Générale,ING Group,Barclays,US Bancorp,Goldman Sachs Group
target,Target,Sysco,Cigna,Lockheed Martin,HCA Healthcare
lowe's,Procter & Gamble,Phillips 66,Unilever,Wanhua Chemical Group,DowDuPont
general dynamics,ABB,Danone,Rio Tinto,AstraZeneca,Imperial Brands
repsol,ENGIE,Archer Daniels Midland,Magna International,United Technologies,Cisco Systems
astrazeneca,Imperial Brands,Nutrien,General Dynamics,ABB,Danone
eli lilly,Amgen,Coca-Cola,Danaher,Sherwin-Williams,Celgene
continental,Formosa Plastics,Linde,Hong Kong Exchanges,SK Hynix,Kubota
charles schwab,Charles Schwab,Cleveland-cliffs,Yum China Holdings,Discover Financial Services,Rockwell Automation
national grid,Broadcom,Towngas,Telstra,Public Storage,TELUS
progressive,Progressive,Halliburton,Honeywell International,Eaton,Cigna
tesco,Tesco,Enel,Deutsche Telekom,Eni,Siemens
danone,ABB,General Dynamics,LafargeHolcim,Sabanci Holding,AstraZeneca
poly developments & holdings group,New China Life Insurance,Alexandria Real Estate Equities,Samsung Fire & Marine,SingTel,Expeditors International
volvo group,Saudi Basic Industries,Bayer,Walt Disney,Top Frontier Investment Holdings,Fastighets Balder
hca healthcare,HCA Healthcare,Cigna,Target,Progressive,Sysco
accenture,Morgan Stanley,Dollar General,Invitation Homes,Mirae Asset Daewoo,TJX Cos
central japan railway,Braskem,Japan Tobacco,Beijing Capital Development,Mitsubishi Estate,AGL Energy
east japan railway,West Japan Railway,MS&AD Insurance,Waters,AGL Energy,Sumitomo
china unicom,China Unicom,Sinopharm Group,St. James's Place,Samsung Fire & Marine,Poly Developments & Holdings Group
schneider electric,South32,Hewlett Packard Enterprise,Omnicom Group,Emerson Electric,China Merchants Securities
midea group,LG Electronics,Aisin Seiki,Taiwan Semiconductor,Old Mutual,SK Innovation
kbc group,KBC Group,Natixis,Banorte,Samsung Securities,Ageas
mcdonald's,Merck,Otsuka Holding,Inner Mongolia Yili,HeidelbergCement,AutoZone
denso,Daiwa House Industry,KIA Motors,Tokyo Electric Power,Leonardo,Korea Electric Power
jxtg holdings,Hyundai Motor,Idemitsu Kosan,Itochu,KIA Motors,Tokyo Electric Power
fresenius,3M,South32,Philip Morris International,Epiroc,Cisco Systems
bb&t,SunTrust Banks,US Bancorp,Barclays,RBC,Commerzbank
gree electric appliances,Hyundai Mobis,Sumitomo Electric,American Water Works,Canon,Aisin Seiki
anglo american,OMV Group,Bank Negara Indonesia,Banca MPS,ZTE,Bouygues
