Search Company,Closest Company 1,Closest Company 2,Closest Company 3,Closest Company 4,Closest Company 5
tenaris,Hershey,Tapestry,Bank Muscat,Emirates NBD,WR Berkley
bank of ireland,Twitter,American Financial Group,Celanese,Arab National Bank,TransCanada
logan property holdings,Salesforce.com,Evraz Group,Cemex,Molina Healthcare,Omnicom Group
arconic,Hyakugo Bank,Vulcan Materials,Hexagon,Digital China Group,Vipshop Holdings
beiersdorf,Magnitogorsk Iron & Steel,Genworth Financial,Hokuhoku Financial Group,Credit Bank of Moscow,Shimizu
iqvia,Techtronic Industries,Kuehne & Nagel International,KPN,Jones Lang LaSalle,Realty Income
vertex pharmaceuticals,Vertex Pharmaceuticals,IntercontinentalExchange,Cimarex Energy,TD Ameritrade Holding,Dai Nippon Printing
alstom,Alstom,Dai Nippon Printing,Cimarex Energy,Assa Abloy,Rockwell Automation
avalonbay communities,China National Building,Xiaomi,Whirlpool,Financiere de l'Odet,Tata Steel
cez group,Cerner,Reliance Steel,Parker-Hannifin,Consolidated Edison,Kuwait Finance House
fiserv,Neste,United Overseas Bank,Catcher Technology,Far East Horizon,China Grand Automotive Services
bâloise group,Lotte Shopping,Woodside Petroleum,Meituan Dianping,Fidelity National Financial,NTPC
china grand automotive services,Maybank,Oversea-Chinese Banking,United Overseas Bank,Neste,PG&E
mylan,Sumitomo Mitsui Trust,Mahindra & Mahindra,BCI-Banco Credito,Tech Data,Power Construction Corporation of China
bank of east asia,Maanshan Iron & Steel,eBay,Land Securities Group,Align Technology,CIFI Holdings Group
qurate retail group,Kering,Torchmark,Dominion Resources,SGS,Heineken
krung thai bank,JSW Steel,Owens Corning,LEG Immobilien AG,Booking Holdings,Prysmian
mahindra & mahindra,Tenaga Nasional,Sunac China Holdings,Orix,Atlas Copco,Mylan
cgi group,Evergy,San ju San Financial Group,Daiwa Securities,Kansai Electric Power,STRABAG
cemex,Ecolab,DISH Network,Kajima,Salesforce.com,China Merchants Securities
altice usa,Smurfit Kappa Group,Husky Energy,China Hongqiao Group,Norfolk Southern,Haitong Securities
cosco shipping,Freeport-McMoRan,Kering,SGS,Qurate Retail Group,Dominion Resources
sharp,Power Finance,Ameriprise Financial,Yara International,Legal & General Group,American Equity Investment
ww grainger,China Development Bank Financial Leasing,Bank of Jinzhou,Metro,Lenovo Group,Uniqa
leonardo,Fidelity National Information,Daiwa House Industry,Onex,Itaúsa,TDK
gap,Diamondback Energy,Shenzhou International Group Holdings,Lincoln National,Occidental Petroleum,Pernod Ricard
american financial group,First Financial Holding,Mondi,Bank of Ireland,Twitter,Eisai
uni-president,TE Connectivity,Rongsheng Petrochemical,Electric Power Development,Mosaic,Saipem
korea gas,Avnet,Legrand,Newell Brands,Quilter,Concho Resources
cenovus energy,Dollar Tree,Ternium,Vistra Energy,Liberty Global,Koç Holding
centerpoint energy,CenterPoint Energy,Bank Of Guiyang,Hyundai Heavy Industries,Bharti Airtel,Hoya
motorola solutions,Motorola Solutions,Yum! Brands,Grupa PZU,Ctrip.com International,Kerry Group
smc,Standard Chartered,VTB Bank,NAB - National Australia Bank,Huaxia Bank,Credit Agricole
meituan dianping,Lotte Shopping,Fidelity National Financial,Bâloise Group,Woodside Petroleum,Meritz Financial Group
t rowe price,Qantas Airways,Arista Networks,Dover,Prologis,JB Financial Group
agile group holdings,China Zheshang Bank,Far East Horizon,ResMed,Fiserv,Jiangsu Yanghe Brewery
tui,ROSSETI,Albemarle,Grupo Bolivar,Northern Trust,Yunnan Baiyao Group
expedia group,Rakuten,Wipro,Hyundai Steel,Zenith Bank,Murata Manufacturing
public storage,Telstra,CarMax,National Grid,eBay,Financial Street Holdings
guangzhou rural commercial bank,Valeo,Focus Media Information Technology,Ross Stores,Royal Caribbean Cruises,Obayashi
zions bancorp,CGN Power,S.F. Holding,INTL FCStone,Lotte Chemical,Red Eléctrica
shiseido,Saudi Telecom,Financial Street Holdings,Future Land Development Holdings,TELUS,Public Storage
c.h. robinson,C.H. Robinson,Sampo,Swedbank,Airports of Thailand,Equity Residential
wr berkley,United Aircraft,Vingroup,Shinsei Bank,Lotte,Bank Muscat
samsung sdi,Tencent Holdings,Towngas,Epiroc,FedEx,National Grid
zte,OMV Group,Anglo American,TJX Cos,Banca MPS,Iberdrola
voya financial,Pgnig Group,Ventas,Kajima,Alliance Data Systems,DaVita
arab national bank,Monster Beverage,Bank of Ireland,American Financial Group,Activision Blizzard,First Financial Holding
centrica,NVR,Shanxi Taigang Stainless,Teva Pharmaceutical,Swire Pacific,AECOM Technology
financiere de l'odet,Blom Bank,Whirlpool,Tata Steel,Siam Cement,AvalonBay Communities
wens foodstuff group,CSX,China Huarong Asset Management,Coal India,China Resources Pharmaceutical Group,Israel Discount Bank
electronic arts,Altria Group,Mondelēz International,Stanley Black & Decker,Lincoln National,Kellogg
bank of hangzhou,Coal India,Owens Corning,Tenneco,Booking Holdings,Prysmian
pgnig group,Voya Financial,Ventas,Gudang Garam,Alliance Data Systems,Zhongyuan Bank
dsv,Finatis,Gjensidige Forsikring,Weyerhaeuser,Kansas City Southern,Dongfeng Motor Group
intuitive surgical,Intuitive Surgical,Mitsubishi Materials,MOL Hungarian Oil,Interactive Brokers Group,Public Bank
legrand,Avnet,Regeneron Pharmaceuticals,Johnson Matthey,Korea Gas,Quilter
inner mongolia baotou steel,Goodman Group,Abu Dhabi Islamic Bank,Inter Rao,Moscow Exchange,Vonovia
bdo unibank,Taiwan Semiconductor,Aisin Seiki,Toshiba,Universal Entertainment,Formosa Petrochemical
china gas holdings,Fortum,Anhui Conch Cement,Inchcape,Tenaga Nasional,Fubon Financial
aeroports de paris,Companhia Brasileira de Distribuicao,Arrow Electronics,Contemporary Amperex Technology,Skanska,SEB SA
diamondback energy,Gap,Shenzhou International Group Holdings,Lincoln National,H&M - Hennes & Mauritz,Pernod Ricard
asr nederland,Jacobs Engineering,Tingyi Holding,Aptiv,Riyad Bank,Entergy
nec,Intuit,Aena,FleetCor Technologies,Intact Financial,Sino-Ocean Group Holding
db insurance,Koito Manufacturing,Advanz Pharma,Wheelock,Aareal Bank,Gallagher
jm smucker,Duke Energy,PVH,General Mills,Adidas,SBI Holdings
schaeffler,Schaeffler,Dollar Tree,Liberty Global,Samsung C&T,Recruit Holdings
zimmer biomet,Zimmer Biomet,Royal Mail,Alexandria Real Estate Equities,Sino Land,Informa plc
china jinmao,Formosa Chemicals,Formosa Petrochemical,Geely Automobile Holdings,Kaisa Group Holdings,Sears Holdings
hengli petrochemical,China Development Bank Financial Leasing,Signature Bank,Japan Exchange Group,WW Grainger,Nitori Holdings
alfa,Power Grid of India,Keiyo Bank,Melrose Industries Plc,JBS,Atlantia
shanghai construction,Simon Property Group,Investor AB,Amcor,Shanghai Commercial & Savings Bank,J.B. Hunt Transport Services
qatar islamic bank,Mapfre,Ecopetrol,Cheniere Energy,Mirae Asset Daewoo,PKN Orlen
cj cheiljedang,Nitto Denko,Rogers Communications,Reliance Steel,Genuine Parts,Shaanxi Coal Industry
turkish airlines,Kerry Group,Jyske Bank,Alexandria Real Estate Equities,Grifols,CME Group
thomson reuters,Baidu,Zions Bancorp,CGN Power,Fortive,Xiaomi
investor ab,Shanghai Construction,Shanghai Commercial & Savings Bank,Simon Property Group,Amcor,China Development Financial
adecco,Nomura Research Institute,Luzerner Kantonalbank,HCL Technologies,Metropolitan Bank & Trust,Pirelli
rockwell automation,Rockwell Automation,Ericsson,Bharti Airtel,Hoya,Charles Schwab
moody's,Iberdrola,Delta Air Lines,ZTE,TJX Cos,OMV Group
datang international power,China Fortune Land Development,O'Reilly Automotive,Murphy USA,Tenaga Nasional,Commercial Bank of Qatar
accor,Zhejiang Longsheng Group,Nintendo,Crown Castle International,Citrix Systems,Noble Energy
indusind bank,SDIC Power Holdings,Huntington Ingalls Industries,Shaanxi Coal Industry,Nitto Denko,Ashtead Group
intact financial,FleetCor Technologies,NEC,LabCorp,Intuit,Aena
j sainsbury,Ceconomy,Westlake Chemical,Thai Beverage,Skanska,All Nippon Airways
thai beverage,Antofagasta,Commercial Bank For Investment & Development Of Vietnam,Inventec,J Sainsbury,All Nippon Airways
yamaha motor,AGL Energy,Spotify Technology,China Shipbuilding Industry,Emera,Mitsubishi Estate
cintas,SSE,MTR,Storebrand,Gecina,Ameren
beijing enterprises,Sun Hung Kai Properties,Cielo,Saudi British Bank,LabCorp,Hyundai Marine & Fire
gallagher,Aareal Bank,Db Insurance,Samsung Fire & Marine,New China Life Insurance,Koito Manufacturing
continental resources,Banque Centrale Populaire,Eurobank Ergasias,Toray Industries,Shoprite Holdings,ASML Holding
daito trust construction,Expeditors International,Daito Trust Construction,Legal & General Group,Ameriprise Financial,Prudential
china shipbuilding industry,ISS,Yamaha Motor,Waters,Seiko Epson,Mitsui Fudosan
shin kong financial,Shin Kong Financial,Fraport,Eaton,Brown-Forman,Sumitomo Chemical
bbmg,Canara Bank,Tech Data,Teva Pharmaceutical,AECOM Technology,Sumitomo Mitsui Trust
mediatek,Universal Health,FinecoBank,Eletrobrás,Eastman Chemical,First Horizon National
onex,Liberty Broadband,Leonardo,Financiere de l'Odet,Fidelity National Information,Whirlpool
tokyu,IHS Markit,Helvetia Holding,Constellation Software,Church & Dwight,Bank Of Guiyang
wellcare health plans,Kone,Bancolombia,Pinduoduo,Mitsubishi Chemical,Nippon Steel Trading
mitsubishi ufj lease,Apache,Caltex Australia,NVR,Broadridge Financial,China Railway Signal & Communication
celanese,Orsted,TransCanada,Twitter,Bank of Ireland,Dexia
hesteel,Shenzhen Overseas,Quilter,Copart,Liberty Broadband,TDK
interactive brokers group,Interactive Brokers Group,Alexandria Real Estate Equities,Intuitive Surgical,Latam Airlines,Mitsubishi Materials
sumitomo metal mining,Land Securities Group,Huntington Ingalls Industries,CJ Cheiljedang,Molina Healthcare,Cemex
mohawk industries,Mohawk Industries,LEG Immobilien AG,Attijariwafa Bank,Cognizant,Delek Group
sojitz,Evraz Group,Logan Property Holdings,Omnicom Group,Wendel,Molina Healthcare
investec,Shimizu,HELLA,MercadoLibre,Makita,Whitbread
netapp,Wolters Kluwer,Coty,Arca Continental,Foot Locker,Vipshop Holdings
yum china holdings,Yum China Holdings,Discover Financial Services,Charles Schwab,Ally Financial,Cleveland-cliffs
melrose industries plc,Atlantia,ALFA,Power Grid of India,Keiyo Bank,Mitsui Chemicals
universal health,MediaTek,Eletrobrás,Mizrahi Tefahot Bank,FinecoBank,Eastman Chemical
gecina,Korea Investment Holdings,Ameren,CPI Property Group.,Storebrand,SSE
restaurant brands international,Atlas Copco,Murphy USA,Tenaga Nasional,China Fortune Land Development,Commercial Bank of Qatar
norwegian cruise line holdings,Dangote Cement,Harbin Bank,Equity Residential,Mitsui OSK Lines,Bank Of Chengdu
sika,Sika,SM Investments,Church & Dwight,Hoya,Bajaj Auto
zhejiang zheneng electric power,Sistema,Syndicate Bank,Ceconomy,Westlake Chemical,Skanska
singapore airlines,Pembina Pipeline,Shizuoka Bank,SinoPac Financial,Western Alliance Bancorp.,Wärtsilä
technipfmc,Colruyt,Realty Income,Keiyo Bank,Jones Lang LaSalle,Royal Caribbean Cruises
bci-banco credito,Mylan,Sumitomo Mitsui Trust,Canara Bank,BBMG,Alpha Bank
sdic power holdings,Public Service Enterprise Group,IndusInd Bank,Shaanxi Coal Industry,Digital Realty Trust,Meritz Financial Group
first financial holding,Eisai,BOK Financial,American Financial Group,Mondi,Bank of Ireland
barrick gold,Longi Green Energy Technology,DSM,Tosoh,BJ's Wholesale Club,Muyuan Foodstuff
shimizu,HELLA,Investec,Makita,Whitbread,MercadoLibre
vistra energy,Ternium,Bankinter,Koç Holding,Equinix,Jointown Pharmaceutical Group
invesco,Meiji Holdings,Constellation Brands,Square,China Resources Power,Cosco Shipping
mosaic,Electric Power Development,Targa Resources,Ferguson,Uni-President,Nishi-nippon Financial Holdings
jiangsu yanghe brewery,Hiroshima Bank,Mr. Cooper Group,PG&E,Banco de Chile,Woori Financial Group
klepierre,Schroders,JFE Holdings,Mitsubishi Chemical,Proximus,"Burlington Stores,"
sm investments,SM Investments,Bank of Zhengzhou,Ericsson,Sika,Hoya
harris,Harris,Dover,CenterPoint Energy,Barratt Developments,Hyundai Heavy Industries
agilent technologies,Bureau Veritas,China Petroleum Engineering,Commerce Bank,Illumina,Old Republic International
altice europe,Mega Financial Holding,Fluor,Edison International,Scentre Group,Link REIT
joint stock commercial bank for foreign trade of vietnam,China Gezhouba,Bank Of Gansu,Bunzl,X5 Retail Group,Bombardier
kyushu electric power,Navient,Shenzhen Mindray Bio-Medical Electronics,Bank of Baroda,Zenith Bank,Hyundai Steel
welltower,Jiangxi Bank,Advanced Info Service,Fidelity National Financial,PPL,Grupo Bimbo
twitter,Bank of Ireland,Celanese,Orsted,American Financial Group,Mondi
kerry group,Kerry Group,Turkish Airlines,Yum! Brands,Motorola Solutions,Grifols
angang steel,Erdemir,China Development Financial,Shanghai Construction,Amcor,Avis Budget Group
hoya,Hoya,Bajaj Auto,Oriental Land,HAL Trust,Rockwell Automation
illumina,News Corp,Ashtead Group,Agilent Technologies,Bureau Veritas,Huntington Ingalls Industries
mondi,American Financial Group,Twitter,First Financial Holding,Bank of Ireland,Reckitt Benckiser Group
steel dynamics,Insurance Australia Group,National Oilwell Varco,Xiamen C&D,China Coal Energy,Nordea Bank
bajaj finserv,PPL,Jiangxi Bank,Reliance Steel,Cerner,Match Group
boston properties,Boston Properties,Dali Foods Group,Ultrapar Participacoes,Rajesh Exports,Fastenal
insurance australia group,Steel Dynamics,Xiamen C&D,Nordea Bank,National Oilwell Varco,GAIL India
american water works,Gree Electric Appliances,Hyundai Mobis,Canon,Old Mutual,Sumitomo Electric
goodyear,Industrial Bank of Korea,Neste,Fiserv,Wuliangye Yibin,Far East Horizon
banco de sabadell,Meritz Securities,H Lundbeck,Grupo Bolivar,TUI,Albemarle
knorr-bremse,iQIYI,Indiabulls Housing Finance,Caesars Entertainment,Norilsk Nickel,Grupo Mexico
annaly capital management,Check Point Software,Veolia Environnement,Darden Restaurants,L Brands,Toll Brothers
helvetia holding,Olam International,Rajesh Exports,Daiichi Sankyo,Tokyu,Constellation Software
lg display,Olam International,Dover,Lixil Group,Ultrapar Participacoes,Harris
harbin bank,Mitsui OSK Lines,Dangote Cement,Norwegian Cruise Line Holdings,Equity Residential,ServiceNow
alinma bank,SK Telecom,US Steel,E-mart,TCL,Kohl's
grupo inbursa,Orange,Merck & Co.,Raytheon,Femsa,Southern Company
agl energy,Mitsubishi Estate,VEON,Yamaha Motor,Emera,Spotify Technology
e.sun financial,Taisei,CJ Corporation,Bank of Xi'an,HCL Technologies,Yes Bank
paychex,Oshkosh,SG Holdings,Great Eagle Holdings,Chow Tai Fook Jewellery,Hong Kong Exchanges
aercap holdings,Iyo Bank,NiSource,Performance Food Group,AGNC Investment,Linde
rongsheng petrochemical,China Energy Engineering,Uni-President,Delta Electronics,Saipem,Analog Devices
meiji holdings,Constellation Brands,Invesco,China Resources Power,Qurate Retail Group,Cosco Shipping
bankinter,China Mengniu Dairy,Vistra Energy,Ternium,Koç Holding,Equinix
westlake chemical,Ceconomy,Zhejiang Zheneng Electric Power,Tech Mahindra,J Sainsbury,Syndicate Bank
grifols,Grifols,Metalurgica Gerdau,Kerry Group,Turkish Airlines,Yum! Brands
kla-tencor,Thomas Cook Group,Steel Authority of India,Hong Leong Financial,Banca Mediolanum,Gunma Bank
darden restaurants,Toll Brothers,Materials Industry Zhongda Group,Annaly Capital Management,Deutsche Wohnen,Veolia Environnement
ferrovial,Lendlease Group,HollyFrontier,Wipro,Bandai Namco Holdings,AIB Group
encana,VakifBank,First Horizon National,SBI Holdings,GD Power Development,Yanzhou Coal Mining
taiwan cooperative financial,Emaar Properties,Tahoe Group,Komatsu,Bank of Jiujiang,CGI Group
industries qatar,Pernod Ricard,US Foods,Guosen Securities,Lam Research,Xcel Energy
clorox,MSCI,Wirecard,Ahli United Bank,Waste Connections,Al Rajhi Bank
hankyu hanshin holdings,Shimao Property Holdings,SinoPac Financial,Daqin Railway,O'Reilly Automotive,Datang International Power
ternium,Microchip Technology,Koç Holding,Vistra Energy,Equinix,Bankinter
tohoku electric power,Tohoku Electric Power,Sino Biopharmaceutical,Aflac,BlackRock,Travelers
borgwarner,BorgWarner,Banco Comercial Portugues,Dassault Aviation,Bank Of Chengdu,Toyota Boshoku
attijariwafa bank,Everest Re Group,JSW Steel,Sekisui House,LEG Immobilien AG,Tenneco
ulta beauty,Surgutneftegas,Tokyo Gas,Cathay Pacific Airways,Husky Energy,Kobe Steel
cifi holdings group,Public Service Enterprise Group,Kajima,Maanshan Iron & Steel,eBay,Financial Street Holdings
samsung sds,Bank of Queensland,Ajinomoto,Chang Hwa Bank,Henderson Land,Chipotle Mexican Grill
molina healthcare,Evraz Group,Kajima,CIFI Holdings Group,Gudang Garam,Logan Property Holdings
saudi arabian mining,Splunk,Telecom Italia,Wm Morrison Supermarkets,CenturyLink,Terna
interpublic group,Sinotruk Hong Kong,Power Grid of India,Taiwan Business Bank,JBS,ALFA
skanska,J Sainsbury,SEB SA,General Mills,Ceconomy,Zhejiang Zheneng Electric Power
amcor,China Life Insurance (Taiwan),Simon Property Group,Shanghai Construction,American Tower,Investor AB
guosen securities,US Foods,Industries Qatar,Keurig Dr Pepper,Dubai Islamic Bank,Daishi Hokuetsu Financial Group
sgs,Kering,Freeport-McMoRan,Cosco Shipping,Torchmark,Heineken
tokyo century,NH Investment & Securities,Deutsche Wohnen,Pgnig Group,Chongqing Rural Bank,Boliden
evergy,Kirin Holdings,San ju San Financial Group,CGI Group,STRABAG,Asahi Kasei
pvh,JM Smucker,General Mills,Syndicate Bank,Sistema,Duke Energy
host hotels & resorts,Nordea Bank,CaixaBank,Sodexo,Samba Financial Group,Norsk Hydro
saputo,Dixons Carphone,Akbank,Albemarle,BayWa,Bank Central Asia
whirlpool,Financiere de l'Odet,Blom Bank,AvalonBay Communities,S.F. Holding,Geely Automobile Holdings
transdigm group,Onex,Leonardo,Fidelity National Information,Posco,Daikin Industries
kobe steel,Empire,China Southern Airlines,Partners Group Holding,Surgutneftegas,PKN Orlen
voestalpine,President Chain Store,Origin Energy,First Horizon National,Pinnacle West,Eletrobrás
aramark,ASE Technology Holding,Infineon Technologies,Marriott International,Valeo,LG Uplus
china galaxy securities,Essity Ab,CK Asset Holdings,Chipotle Mexican Grill,New World Development,Henderson Land
china international marine,Alcoa,Luxshare Precision Industry,Alliant Energy,CMS Energy,China Taiping Insurance
cj corporation,E.Sun Financial,Taisei,IBERIABANK,Bank of Xi'an,Comerica
terna,Splunk,Wm Morrison Supermarkets,BBMG,Grasim Industries,Saudi Arabian Mining
pultegroup,Japan Securities,Chesapeake Energy,Electrolux Group,Kyushu Financial Group,Adobe
china development financial,Angang Steel,Shanghai Construction,Investor AB,Erdemir,Avis Budget Group
china resources power,Meiji Holdings,Constellation Brands,Hyatt Hotels,Live Nation Entertainment,Qurate Retail Group
bank pekao,Core-Mark Holding,Scor,Sun Art Retail Group,Raymond James Financial,DP World
covivio,China Yangtze Power,China Longyuan Power,Bawag Group,Air Lease,NARI Technology Development
oriental land,Oriental Land,Daelim Industrial,Bajaj Auto,Barratt Developments,China International Travel Service
xilinx,Hang Lung Group,AutoNation,Want Want China,Taiwan Business Bank,Abu Dhabi Islamic Bank
schroders,JFE Holdings,Klepierre,Mitsubishi Chemical,Mitsui Fudosan,Anta Sports Products
wynn resorts,Wolters Kluwer,Jacobs Engineering,Aptiv,Asr Nederland,Coty
bank of tianjin,Piramal Enterprises,XPO Logistics,Nanjing Iron & Steel,IDEXX Laboratories,Isetan Mitsukoshi Holdings
gd power development,E-Trade Financial,Eastman Chemical,MediaTek,Essex Property Trust,FinecoBank
equinix,Ternium,Vistra Energy,Bankinter,UCB,Vestas Wind Systems
cosmo energy holdings,Suzuki Motor,Crown Castle International,KION Group,Chubu Electric Power,Daikin Industries
ucb,Olam International,Sasol,MTN Group,Vestas Wind Systems,Saudi Electricity
3i group,Tech Mahindra,Commercial Bank For Investment & Development Of Vietnam,UGI,China Reinsurance Group,Antofagasta
gail india,China Coal Energy,Royal Caribbean Cruises,Southwest Airlines,Xiamen C&D,Extra Space Storage
givaudan,Hopson Development Holdings,Almarai,Ball,PacWest Bancorp,Financial Street Holdings
hyundai steel,Zenith Bank,Expedia Group,Shenzhen Mindray Bio-Medical Electronics,Rakuten,Gjensidige Forsikring
inter rao,Moscow Exchange,Alexion Pharmaceuticals,Vonovia,Live Nation Entertainment,Goodman Group
ferrari,China Zhongwang Holdings,Foot Locker,Arca Continental,Eversource Energy,FirstEnergy
industrial alliance insurance,Check Point Software,Air Liquide,Safran,Hua Nan Financial,Annaly Capital Management
vienna insurance group,Julius Baer Group,Nutrien,Dexus,Chongqing Changan Auto,International Paper
petronas chemicals,Next,Ahli United Bank,First Abu Dhabi Bank,Al Rajhi Bank,Wirecard
terumo,Pinnacle West,United Rentals,Hyakugo Bank,NetEase,3i Group
newmont mining,CDW,Applied Materials,Western Digital,Hikvision,NVIDIA
masco,Vivendi,Transneft,Unipol Gruppo,Telenor,Bank Hapoalim
ricoh,Barry Callebaut,Dentsu,GS Engineering,Tenaris,Tapestry
top frontier investment holdings,Danaher,Suncor Energy,T&D Holdings,Inditex,Fastighets Balder
punjab national bank,Daishi Hokuetsu Financial Group,Wintrust Financial,Banque Cantonale Vaudoise,Eversource Energy,Oneok
pegatron,Corning,Kuwait Finance House,Adobe,Garanti Bank,Coca-Cola European Partners
indorama ventures,Chongqing Rural Bank,Oji Holdings,Alliance Data Systems,Markel,Cencosud
bank of guiyang,Bank Of Guiyang,CenterPoint Energy,SM Investments,Hoya,HAL Trust
s-oil,AAC Technologies Holdings,Essex Property Trust,T&D Holdings,Novo Nordisk,Novatek
arkema,Commercial Bank of Qatar,Western Alliance Bancorp.,Murphy USA,Restaurant Brands International,Tenaga Nasional
airports of thailand,Airports of Thailand,DNB,C.H. Robinson,Kintetsu,China Agri-Industries
nrg energy,Maxim Integrated Products,BAIC Motor,Tiffany & Co.,Voestalpine,SVB Financial Group
dassault systemes,Mazda Motor,JBS,Keiyo Bank,Power Grid of India,ALFA
experian,Northern Trust,Scentre Group,State Street,Svenska Handelsbanken,Commerzbank
us steel,Toll Brothers,Alinma Bank,Materials Industry Zhongda Group,Annaly Capital Management,Darden Restaurants
advanced info service,Welltower,Fidelity National Financial,Woodside Petroleum,NTPC,Annaly Capital Management
expeditors international,People's Insurance,Postal Savings Bank Of China (PSBC),Reliance Industries,China Life Insurance,Vodafone
jiangsu hengrui medicine,Wintrust Financial,Amadeus IT Group,Bank Hapoalim,Nordstrom,Air Products & Chemicals
hess,Tatneft,Evonik,Imperial Brands,T&D Holdings,Nutrien
hal trust,HAL Trust,Hoya,Church & Dwight,Bajaj Auto,Oriental Land
lg household & health care,Citic Securities,Grupo Elektra,RMB Holdings,ENN Energy Holdings,Suntory Beverage & Food
grasim industries,China Railway Signal & Communication,Shionogi,BBMG,NVR,Centrica
assa abloy,Assa Abloy,Hyundai Heavy Industries,Bharti Airtel,Ericsson,Rockwell Automation
charoen pokphand foods,Absa Group,AGC,Raiffeisen Bank International,Adecco,Luzerner Kantonalbank
worldpay,Hyundai Mobis,Toshiba,Copart,Toyota Tsusho,Hesteel
yuanta financial holding,Yamada Denki,Splunk,Yamato Holdings,Uniqa,Telecom Italia
concordia financial group,Regeneron Pharmaceuticals,Cullen/Frost Bankers,Red Eléctrica,Lotte Chemical,Guangzhou Automobile Group
genworth financial,Magnitogorsk Iron & Steel,Beiersdorf,Hokuhoku Financial Group,Shimizu,Investec
bank of baroda,Navient,Shenzhen Mindray Bio-Medical Electronics,Luzhou Lao Jiao,Kyushu Electric Power,Zenith Bank
jiangxi copper,World Fuel Services,Zoetis,Celltrion,Korean Air,Kyocera
bank of changsha,LKQ,Fraport,Brown-Forman,Ralph Lauren,Shin Kong Financial
china mengniu dairy,Bankinter,Empresas CMPC,Ternium,Microchip Technology,Equinix
grupo elektra,RMB Holdings,ENN Energy Holdings,Molson Coors Brewing,Citic Securities,Kotak Mahindra Bank
equity residential,Equity Residential,Swedbank,Dangote Cement,C.H. Robinson,Bank Of Chengdu
foshan haitian flavouring and food,Lindt & Sprungli,National Bank of Greece,China Resources Power,Hyatt Hotels,ASE Technology Holding
quest diagnostics,Subaru,Twitter,Mondi,SVB Financial Group,Arab Bank
ayala,Celltrion,Air Canada,World Fuel Services,American Water Works,RSA Insurance Group
china international capital,Wistron,Axiata Group,HCL Technologies,Liberty Expedia Holdings,Pirelli
magnitogorsk iron & steel,Genworth Financial,Beiersdorf,Hokuhoku Financial Group,Shimizu,Investec
ashtead group,Steinhoff International,Illumina,Old Republic International,Nitto Denko,IndusInd Bank
brown-forman,Brown-Forman,Fraport,Shin Kong Financial,LEG Immobilien AG,Aflac
hunan valin steel,Qantas Airways,Qingdao Rural Commercial Bank,Prologis,Arista Networks,Lululemon Athletica
delta electronics,Rongsheng Petrochemical,F5 Networks,Saipem,NVIDIA,China Energy Engineering
east west bancorp,Universal Entertainment,Industrivarden,Sumitomo Electric,Nidec,BDO Unibank
new residential investment,New Residential Investment,British American Tobacco,Honeywell International,GlaxoSmithKline,RWE Group
fastenal,Ultrapar Participacoes,Indian Bank,Olam International,Boston Properties,Arista Networks
power finance,Sharp,CME Group,Times Property Holdings,American Equity Investment,Turkish Airlines
henry schein,Storebrand,Pearson,Autodesk,Ameren,BJ's Wholesale Club
fleetcor technologies,Intuit,Sino-Ocean Group Holding,NEC,Intact Financial,Hyundai Marine & Fire
hexagon,Vulcan Materials,WEC Energy Group,Arconic,Wynn Resorts,Asr Nederland
dai nippon printing,Dai Nippon Printing,Daelim Industrial,IntercontinentalExchange,Oriental Land,Cimarex Energy
metro group,Metro Group,CRRC,Greenland Holdings Group,Aegon,Brookfield Asset Management
goodman group,Moscow Exchange,Novolipetsk Steel,Inner Mongolia Baotou Steel,Inter Rao,Alexion Pharmaceuticals
torchmark,Richemont,Kering,Canadian Natural Resources,Qurate Retail Group,Partners Group Holding
ctrip.com international,Expeditors International,Ctrip.com International,WestRock,Shanghai Pharmaceuticals,Motorola Solutions
china life insurance (taiwan),Amcor,J.B. Hunt Transport Services,L3 Technologies,Simon Property Group,OTP Bank
mccormick,Berkeley Group Holdings,China Energy Engineering,EasyJet,Analog Devices,Persimmon
storebrand,Henry Schein,Ameren,Gecina,Korea Investment Holdings,Unicharm
hna technology,HNA Technology,Compal Electronics,CRRC,CRH,Aegon
brenntag,Dubai Islamic Bank,Keurig Dr Pepper,Amadeus IT Group,US Foods,Air Products & Chemicals
rsa insurance group,Concho Resources,Nedbank,Kaisa Group Holdings,Newell Brands,Zijin Mining Group
nvr,Centrica,Shanxi Taigang Stainless,Apache,AECOM Technology,Grasim Industries
skyworks solutions,Restaurant Brands International,Murphy USA,Commercial Bank of Qatar,Atlas Copco,Arkema
china international travel service,China International Travel Service,Daelim Industrial,Oriental Land,Dai Nippon Printing,Lixil Group
johnson matthey,Legrand,Regeneron Pharmaceuticals,Bandai Namco Holdings,Avnet,Hesteel
hua nan financial,Air Liquide,Phoenix Group Holdings,Garanti Bank,Veolia Environnement,Coca-Cola European Partners
huntington ingalls industries,PacWest Bancorp,Nitto Denko,IndusInd Bank,Align Technology,Ashtead Group
unicharm,Alexandria Real Estate Equities,Yum! Brands,Motorola Solutions,Storebrand,Ameren
china molybdenum,China Molybdenum,Associated Banc-Corp,Daiichi Sankyo,Boston Properties,Rajesh Exports
yango group,Informa plc,People's United Financial,Sino Land,Public Bank,Expeditors International
wolters kluwer,NetApp,Aptiv,Wynn Resorts,Coty,Arca Continental
hyundai marine & fire,China Merchants Shekou Industrial Zone Holdings,Bawag Group,FleetCor Technologies,CNPC Capital,Intuit
